size,sort_type,input_type,micro_time,comparisons
0,insertion,ascending,0,0
0,merge,ascending,0,0
0,hybrid,ascending,0,0
0,insertion,descending,0,0
0,merge,descending,0,0
0,hybrid,descending,0,0
0,insertion,random,0,0
0,merge,random,0,0
0,hybrid,random,0,0
1,insertion,ascending,0,0
1,merge,ascending,0,0
1,hybrid,ascending,0,0
1,insertion,descending,0,0
1,merge,descending,0,0
1,hybrid,descending,0,0
1,insertion,random,0,0
1,merge,random,0,0
1,hybrid,random,0,0
2,insertion,ascending,0,1
2,merge,ascending,0,1
2,hybrid,ascending,0,1
2,insertion,descending,0,2
2,merge,descending,0,1
2,hybrid,descending,0,2
2,insertion,random,0,1.64
2,merge,random,0,1
2,hybrid,random,0,1.52
3,insertion,ascending,0,2
3,merge,ascending,0,3
3,hybrid,ascending,0,2
3,insertion,descending,0,5
3,merge,descending,0,2
3,hybrid,descending,0,5
3,insertion,random,0,3.52
3,merge,random,19.94,2.68
3,hybrid,random,0,3.64
4,insertion,ascending,0,3
4,merge,ascending,0,4
4,hybrid,ascending,0,3
4,insertion,descending,0,9
4,merge,descending,0,4
4,hybrid,descending,0,9
4,insertion,random,0,6.06
4,merge,random,0,4.68
4,hybrid,random,0,5.9
5,insertion,ascending,0,4
5,merge,ascending,0,7
5,hybrid,ascending,0,4
5,insertion,descending,0,14
5,merge,descending,0,5
5,hybrid,descending,0,14
5,insertion,random,0,8.98
5,merge,random,0,7.14
5,hybrid,random,0,8.6
6,insertion,ascending,0,5
6,merge,ascending,0,9
6,hybrid,ascending,0,5
6,insertion,descending,0,20
6,merge,descending,0,7
6,hybrid,descending,0,20
6,insertion,random,0,12.26
6,merge,random,0,9.62
6,hybrid,random,0,12.28
7,insertion,ascending,0,6
7,merge,ascending,0,11
7,hybrid,ascending,0,6
7,insertion,descending,0,27
7,merge,descending,0,9
7,hybrid,descending,0,27
7,insertion,random,0,16.5
7,merge,random,0,12.56
7,hybrid,random,0,15.8
8,insertion,ascending,0,7
8,merge,ascending,0,12
8,hybrid,ascending,0,7
8,insertion,descending,0,35
8,merge,descending,0,12
8,hybrid,descending,0,35
8,insertion,random,0,20.48
8,merge,random,0,15.7
8,hybrid,random,0,21.78
9,insertion,ascending,0,8
9,merge,ascending,0,16
9,hybrid,ascending,0,8
9,insertion,descending,0,44
9,merge,descending,0,13
9,hybrid,descending,0,44
9,insertion,random,0,25.92
9,merge,random,0,19.02
9,hybrid,random,0,25.86
10,insertion,ascending,0,9
10,merge,ascending,19.94,19
10,hybrid,ascending,0,9
10,insertion,descending,0,54
10,merge,descending,0,15
10,hybrid,descending,0,54
10,insertion,random,0,32.84
10,merge,random,0,22.82
10,hybrid,random,0,32
11,insertion,ascending,0,10
11,merge,ascending,0,22
11,hybrid,ascending,0,10
11,insertion,descending,0,65
11,merge,descending,0,17
11,hybrid,descending,0,65
11,insertion,random,0,39.04
11,merge,random,0,26.58
11,hybrid,random,0,37.04
12,insertion,ascending,0,11
12,merge,ascending,0,24
12,hybrid,ascending,0,11
12,insertion,descending,0,77
12,merge,descending,0,20
12,hybrid,descending,0,77
12,insertion,random,0,43.72
12,merge,random,0,29.6
12,hybrid,random,0,45.22
13,insertion,ascending,0,12
13,merge,ascending,0,27
13,hybrid,ascending,0,12
13,insertion,descending,0,90
13,merge,descending,0,22
13,hybrid,descending,0,90
13,insertion,random,0,50.9
13,merge,random,0,33.88
13,hybrid,random,0,50.42
14,insertion,ascending,20.58,13
14,merge,ascending,0,29
14,hybrid,ascending,0,13
14,insertion,descending,0,104
14,merge,descending,0,25
14,hybrid,descending,0,104
14,insertion,random,0,58.64
14,merge,random,0,37.94
14,hybrid,random,0,59.86
15,insertion,ascending,0,14
15,merge,ascending,0,31
15,hybrid,ascending,0,14
15,insertion,descending,0,119
15,merge,descending,0,28
15,hybrid,descending,0,119
15,insertion,random,0,66.06
15,merge,random,0,41.76
15,hybrid,random,0,67.08
16,insertion,ascending,0,15
16,merge,ascending,0,32
16,hybrid,ascending,0,15
16,insertion,descending,0,135
16,merge,descending,0,32
16,hybrid,descending,0,135
16,insertion,random,19.94,76.4
16,merge,random,0,45.86
16,hybrid,random,0,76.34
17,insertion,ascending,0,16
17,merge,ascending,0,37
17,hybrid,ascending,0,16
17,insertion,descending,0,152
17,merge,descending,0,33
17,hybrid,descending,0,152
17,insertion,random,0,84.3
17,merge,random,0,49.62
17,hybrid,random,0,84.04
18,insertion,ascending,0,17
18,merge,ascending,19.92,41
18,hybrid,ascending,0,17
18,insertion,descending,0,170
18,merge,descending,0,35
18,hybrid,descending,0,170
18,insertion,random,0,93.16
18,merge,random,0,54.94
18,hybrid,random,0,92.74
19,insertion,ascending,0,18
19,merge,ascending,0,45
19,hybrid,ascending,0,18
19,insertion,descending,0,189
19,merge,descending,0,37
19,hybrid,descending,0,189
19,insertion,random,0,97.86
19,merge,random,0,59
19,hybrid,random,19.26,102.9
20,insertion,ascending,0,19
20,merge,ascending,19.94,48
20,hybrid,ascending,0,19
20,insertion,descending,0,209
20,merge,descending,0,40
20,hybrid,descending,0,209
20,insertion,random,0,117.56
20,merge,random,0,63.22
20,hybrid,random,0,110.34
21,insertion,ascending,0,20
21,merge,ascending,0,52
21,hybrid,ascending,0,20
21,insertion,descending,0,230
21,merge,descending,0,42
21,hybrid,descending,0,230
21,insertion,random,0,127.7
21,merge,random,0,68.44
21,hybrid,random,0,125.72
22,insertion,ascending,0,21
22,merge,ascending,0,55
22,hybrid,ascending,0,21
22,insertion,descending,0,252
22,merge,descending,0,45
22,hybrid,descending,0,252
22,insertion,random,0,141.44
22,merge,random,0,72.82
22,hybrid,random,0,138.5
23,insertion,ascending,0,22
23,merge,ascending,0,58
23,hybrid,ascending,0,22
23,insertion,descending,0,275
23,merge,descending,0,48
23,hybrid,descending,0,275
23,insertion,random,0,150.14
23,merge,random,19.38,77.38
23,hybrid,random,0,145.54
24,insertion,ascending,0,23
24,merge,ascending,0,60
24,hybrid,ascending,0,23
24,insertion,descending,0,299
24,merge,descending,0,52
24,hybrid,descending,0,299
24,insertion,random,0,163.42
24,merge,random,20.02,82.22
24,hybrid,random,0,159
